seed,return_last100,return_best,acc_start,acc_end,f1_end,depth_end,n_commits,n_rollbacks
0,-2.619380186545372,-0.40372753166441305,0.5,0.6833333333333333,0.5777777777777777,5,4,0
1,-2.1205804582381957,0.1779786862401302,0.5666666666666667,0.6833333333333333,0.7532467532467533,8,6,0
2,-2.8054751146335195,-0.6373714595838642,0.43333333333333335,0.7333333333333333,0.7575757575757576,8,6,0
