benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,mean_param_grad_variance_across_seeds,median_param_grad_variance_across_seeds,min_param_grad_variance_across_seeds,max_param_grad_variance_across_seeds,mean_param_abs_grad,mean_param_near_zero_ratio,n_params,n_seeds,log10_mean_param_grad_variance_across_seeds,log10_median_param_grad_variance_across_seeds,n_runs,mean_objective_value,mean_spatial_grad_variance,mean_grad_norm,mean_normalized_grad_norm,mean_abs_grad,mean_near_zero_ratio,mean_n_entangling_gates,mean_actual_entangling_budget,mean_target_entangling_budget,mean_layer_grad_norm,max_layer_near_zero_ratio,mean_layer_near_zero_ratio
random_bp,expectation_value,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,8,1,1,same_entangling_gate_count,9.019272223191886e-06,1.0343882865021898e-33,5.066736994848823e-35,5.9723560928871627e-05,0.001121382578654443,0.6666666666666666,24,3,-5.044828504830953,-30.0,3,0.00042561031338601146,8.951462556609241e-06,0.014842361619441606,0.0030296843787917444,0.001121382578654443,0.6666666666666666,8.0,8.0,7.0,0.014842361619441606,0.6666666666666666,0.6666666666666666
random_bp,expectation_value,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,8,2,2,same_entangling_gate_count,0.00029452715984133927,3.338990102395011e-05,6.569959683281873e-35,0.0029784967290981826,0.008788841556215196,0.3333333333333333,48,3,-3.5308746505361293,-4.476384868301604,3,0.0020988110929556977,0.00025406395820043616,0.10271179982404155,0.014825171319340339,0.008788841556215196,0.3333333333333333,16.0,16.0,14.0,0.06971290667214422,0.6666666666666666,0.3333333333333333
random_bp,expectation_value,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,8,4,4,same_entangling_gate_count,0.0026962137274462814,0.001274688713529597,2.900773126760522e-35,0.02293813188310036,0.03328993788198804,0.16666666666666666,96,3,-2.569245684476654,-2.8945958595454293,3,0.018174636227323907,0.002518521432118087,0.48906661581527633,0.049915152457383365,0.03328993788198804,0.16666666666666666,32.0,32.0,28.0,0.23145911915742393,0.6666666666666666,0.16666666666666666
random_bp,expectation_value,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,8,8,7,same_entangling_gate_count,0.0014749085182877834,0.0008322472884893274,5.1180938660906e-35,0.014510131923954728,0.029120111297844448,0.09523809523809523,168,3,-2.8312349161162715,-3.079747611125985,3,-0.050024995771449664,0.0015175986400823849,0.5052596095166645,0.038981625174479895,0.029120111297844448,0.09523809523809523,56.0,56.0,56.0,0.18420098852147038,0.6666666666666666,0.09523809523809523
random_bp,expectation_value,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,8,1,1,same_entangling_gate_count,0.002666776474803857,0.0011305133149627172,4.6605524130738704e-36,0.009230008713476137,0.03181023483374338,0.4444444444444444,24,3,-2.574013384695392,-2.9467243182537994,3,-0.003417908185436344,0.0028973380770184656,0.269468325600353,0.055004991630251875,0.03181023483374338,0.4444444444444445,8.0,8.0,7.0,0.269468325600353,0.5,0.4444444444444445
random_bp,expectation_value,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,8,2,2,same_entangling_gate_count,0.0011296559856070782,0.00012236656814891046,4.3793104935749696e-36,0.01300493414980098,0.018784759767535315,0.20833333333333334,48,3,-2.9470537921795725,-3.912337219867556,3,0.04964928676942176,0.0010612524741250241,0.22707448480610407,0.03277537873222495,0.018784759767535315,0.20833333333333334,16.0,16.0,14.0,0.15943281608067963,0.4166666666666667,0.20833333333333334
random_bp,expectation_value,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,8,4,4,same_entangling_gate_count,0.0005220729948903187,0.00024660775759321953,1.6049416203226967e-35,0.003660390806452619,0.015696581172474675,0.10416666666666667,96,3,-3.2822687708257567,-3.6079932658305687,3,-0.06853894087123652,0.00048770687347845484,0.2137624039607001,0.02181703399560038,0.01569658117247467,0.10416666666666667,32.0,32.0,28.0,0.10461176875470772,0.4166666666666667,0.10416666666666667
random_bp,expectation_value,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,8,8,7,same_entangling_gate_count,0.00025751673499850944,0.00015014386595620677,2.3321807920314184e-35,0.001801722666444639,0.011676797748454074,0.05952380952380952,168,3,-3.5891945426175647,-3.8234924059610917,3,-0.011682719875882685,0.0002409896857561241,0.20063476977592412,0.015479308547649081,0.011676797748454074,0.059523809523809514,56.0,56.0,56.0,0.07354397648068949,0.4166666666666667,0.05952380952380952
random_bp,expectation_value,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,8,1,1,same_entangling_gate_count,0.0001053970215747961,2.418582462991428e-07,1.625894392374212e-35,0.001071919500224524,0.0036141145270871707,0.3611111111111111,24,3,-3.977171661722214,-6.616439100497319,3,0.009363948954702507,0.00011708000269793236,0.05112297240125966,0.010435433043122755,0.003614114527087171,0.3611111111111111,8.0,8.0,7.0,0.05112297240125966,0.4166666666666667,0.3611111111111111
random_bp,expectation_value,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,8,2,2,same_entangling_gate_count,0.0004021592794432897,7.074842639251926e-05,1.1494548598335511e-35,0.006662951439500235,0.010843486302645684,0.16666666666666666,48,3,-3.3956019059132703,-4.150283215402906,3,0.012785247089787491,0.0003711519204021276,0.13105423461371965,0.018916049408167854,0.01084348630264568,0.16666666666666666,16.0,16.0,14.0,0.09008165019690544,0.3333333333333333,0.16666666666666666
