benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,2,2,10,10,5,18,1,0.01888041851531397,0.0012403071753389688,0.1614603837777513,0.13961553089293602,1.6308115310503067e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,2,2,10,10,5,19,0,0.018335653497144073,0.001587014649030297,0.1691843137749498,0.15995316111447969,0.0014292231839438917,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,2,2,10,10,5,19,1,0.007777495165021877,0.00027170248133900877,0.07007515015983462,0.05589064981730794,2.1616012804572515e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,2,2,10,10,5,20,0,0.022722222301470574,0.0015049884061516248,0.16776150874326914,0.13704666115259234,0.0014156866444869631,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,2,2,10,10,5,20,1,0.03424230038107309,0.0037876236623709298,0.26205392841720315,0.17366463494523496,8.394129061099408e-19,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,2,2,10,12,6,21,0,0.025395078517563622,0.0009946071144807634,0.13670814132385264,0.06615237009371126,0.0014675490910772272,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,2,2,10,12,6,21,1,0.024977109615444228,0.0016194242224515873,0.1716463023329913,0.09296652213436904,3.3609207320451913e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,2,2,10,12,6,22,0,0.0288495465503719,0.0013410324694517904,0.16792761131083464,0.08026237599367814,0.00255248270127989,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,2,2,10,12,6,22,1,0.009601097739949264,0.00022209596688380613,0.06748863392994825,0.050148657645009115,2.191754574532015e-19,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,2,2,10,12,6,23,0,0.020740938741633116,0.000911659389211222,0.12815778513256043,0.07493475798333717,0.0006367420766774309,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,2,2,10,12,6,23,1,0.0338268943839538,0.003069011872915082,0.23598235029586756,0.14674318153334545,1.850140502895317e-19,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,2,2,10,10,5,24,0,0.03850094410678346,0.003141660479227675,0.23796337331904494,0.1233576347460167,7.293604104513946e-17,0.05555555555555555
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,2,2,10,10,5,24,1,0.030027417282113063,0.005352948934803339,0.3104084540486328,0.24429376072492365,3.1226464435993344e-18,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,2,2,10,10,5,25,0,0.05424189550113205,0.004137035904654928,0.2748590651061862,0.0974260937771852,6.731955553579495e-17,0.05555555555555555
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,2,2,10,10,5,25,1,0.015203438770674371,0.0008898542433037189,0.1293974932081021,0.06837384517626847,5.637851296924623e-18,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,2,2,10,10,5,26,0,0.04517313958529821,0.003195853083736135,0.27571004474097827,0.1678401541475446,1.7664498175883658e-17,0.05555555555555555
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,2,2,10,10,5,26,1,0.02486431494735901,0.003122161509247065,0.23857906148544572,0.1694666857870257,0.0,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,2,2,10,12,6,27,0,0.06486614361648953,0.005399395931320597,0.320955927441135,0.1414872957083595,0.01509007062821158,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,2,2,10,12,6,27,1,0.025657609191728895,0.0029541562103020855,0.23060039972503776,0.17864799144886495,0.0,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,2,2,10,12,6,28,0,0.022644395373650282,0.0007687596876780565,0.12318557374398045,0.06657118465631033,0.001012333678258634,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,2,2,10,12,6,28,1,0.007996112669907228,0.00039749908417949123,0.08576023728298532,0.0793388183058937,6.938893903907228e-18,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,2,2,10,12,6,29,0,0.02848820478454577,0.0012464659517033314,0.16369344096854604,0.09793822032356019,0.0011526232425840203,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,2,2,10,12,6,29,1,0.019963492901762765,0.002032764939289869,0.19590559633309496,0.15627343932793564,0.0,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,2,2,10,10,5,30,0,0.030654491518044145,0.002387023558895414,0.2118116115007462,0.13498733071045504,4.989107958619149e-17,0.05555555555555555
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,2,2,10,10,5,30,1,0.02312456793376103,0.0020391751962913597,0.19194241586856178,0.11432543017668846,0.0,0.4444444444444444
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,2,2,10,10,5,31,0,0.026021918889560236,0.0010802388051333479,0.15425030223355776,0.08025331543185368,3.392189125034132e-17,0.05555555555555555
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,2,2,10,10,5,31,1,0.022723208223240657,0.0016591589685383836,0.17519821965571175,0.10580179908848397,5.603361661230111e-20,0.4444444444444444
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,2,2,10,10,5,32,0,0.03645338673004387,0.0029127037328840503,0.22928615212855546,0.1520042453461526,2.0255131637869783e-17,0.05555555555555555
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,2,2,10,10,5,32,1,0.028991362884097538,0.0027574022286447394,0.23527573306970254,0.13242689747380842,1.4958117226707916e-19,0.4444444444444444
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,2,2,10,12,6,33,0,0.028548691823165138,0.0018654134804795437,0.1845101706282085,0.14439649934625334,0.0003623425276610914,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,2,2,10,12,6,33,1,0.02636378821384461,0.0017612793815661482,0.17836954867796623,0.0989754915007888,1.2120381264169138e-17,0.4444444444444444
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,2,2,10,12,6,34,0,0.05654223291082558,0.00747363867409212,0.3670885205124171,0.2517484171984413,0.006486002446101565,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,2,2,10,12,6,34,1,0.010159107642947723,0.0003146633834539495,0.080945598677176,0.05590373964330164,1.742564725600406e-18,0.4444444444444444
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,2,2,10,12,6,35,0,0.0415407060334651,0.0026274563739762426,0.22487905173466377,0.11475169012537657,0.00139168336579569,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,2,2,10,12,6,35,1,0.025399907798106563,0.0033663978496746667,0.24651509866729343,0.19905483066994906,0.0,0.4444444444444444
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,4,4,20,20,5,36,0,0.03827387583246759,0.0021229217663893724,0.1956906814737677,0.08426695690159514,0.0027376744170451743,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,4,4,20,20,5,36,1,0.027554417909063367,0.0011461101129128224,0.14403360099178084,0.0634235264976937,0.0023135078892688454,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,4,4,20,20,5,36,2,0.03346619196467385,0.002440761450929979,0.20960852659945292,0.14859477226233817,0.0015355747573828349,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,4,4,20,20,5,36,3,0.015416650930161261,0.0005804484911767335,0.10756787774253061,0.07638992721468355,2.0255647963286786e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,4,4,20,20,5,37,0,0.04445417076490767,0.002741396996927355,0.22295095163464357,0.10649620193777656,0.006164374110423055,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,4,4,20,20,5,37,1,0.03801945495056554,0.0020030060562253064,0.19344976411055675,0.09068478335995682,0.004570403801499333,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,4,4,20,20,5,37,2,0.022626718436338143,0.0007740403751373159,0.12194647678334362,0.05916400265592023,0.00027789282212101196,0.0
