benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,mean_param_grad_variance_across_seeds,median_param_grad_variance_across_seeds,min_param_grad_variance_across_seeds,max_param_grad_variance_across_seeds,mean_param_abs_grad,mean_param_near_zero_ratio,n_params,n_seeds,log10_mean_param_grad_variance_across_seeds,log10_median_param_grad_variance_across_seeds,n_runs,mean_objective_value,mean_spatial_grad_variance,mean_grad_norm,mean_normalized_grad_norm,mean_abs_grad,mean_near_zero_ratio,mean_n_entangling_gates,mean_actual_entangling_budget,mean_target_entangling_budget,mean_layer_grad_norm,max_layer_near_zero_ratio,mean_layer_near_zero_ratio
random_bp,expectation_value,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,12,1,1,same_entangling_gate_count,1.0848544919747664e-07,8.279664508529349e-35,5.817290633899616e-36,9.660173851956098e-07,0.00011407388862780124,0.6666666666666666,36,3,-6.964628508423932,-30.0,3,0.00013723287905677194,1.0505885363050189e-07,0.0018686217723572131,0.00031143696205953556,0.00011407388862780124,0.6666666666666666,12.0,12.0,11.0,0.0018686217723572131,0.6666666666666666,0.6666666666666666
random_bp,expectation_value,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,12,2,2,same_entangling_gate_count,7.751533270924146e-06,1.0257012720818657e-07,1.3010035075533523e-36,0.00017962132710071422,0.0009080733072642042,0.3333333333333333,72,3,-5.11061238455951,-6.988979105868366,3,0.00022143467903438575,8.29112350255629e-06,0.018794115766150494,0.002214907784108337,0.0009080733072642042,0.3333333333333333,24.0,24.0,22.0,0.01290286125353819,0.6666666666666666,0.3333333333333333
random_bp,expectation_value,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,12,4,4,same_entangling_gate_count,0.00016311340619072203,6.014091639279403e-05,2.3196421856226478e-36,0.0027366660629707246,0.008092099320096057,0.16666666666666666,144,3,-3.7875103430959327,-4.22082995865483,3,0.01341271717837105,0.00016421337484429644,0.14825939860684909,0.012354949883904093,0.008092099320096057,0.16666666666666666,48.0,48.0,44.0,0.07157681892053885,0.6666666666666666,0.16666666666666666
random_bp,expectation_value,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,12,8,7,same_entangling_gate_count,0.0001002995761164461,6.28330146191683e-05,2.963861629934976e-37,0.0007055525333617658,0.007773107746248192,0.09523809523809523,252,3,-3.9987009023801545,-4.201812103087467,3,0.0030029284308610966,0.00010248621837205647,0.16106848923777708,0.010146361108858134,0.007773107746248192,0.09523809523809523,84.0,84.0,88.0,0.059771889315215064,0.6666666666666666,0.09523809523809523
random_bp,expectation_value,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,12,1,1,same_entangling_gate_count,0.0010551736812585753,0.0005333768628165438,5.6565374838401566e-36,0.0037364116562953096,0.02273623077403818,0.4351851851851852,36,3,-2.976676049746299,-3.272965827358255,3,-0.04026619803864287,0.0013533532392523903,0.22277586060456253,0.03712931010076042,0.02273623077403818,0.4351851851851852,12.0,12.0,11.0,0.22277586060456253,0.4444444444444444,0.4351851851851852
random_bp,expectation_value,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,12,2,2,same_entangling_gate_count,0.000576140616672343,6.591384121200681e-05,1.6079586040536814e-35,0.006997972309447237,0.012035085278210147,0.19907407407407407,72,3,-3.2394715068688034,-4.1810233785651265,3,0.052328362328267264,0.0005577266895084777,0.20108006783843424,0.02369751325500131,0.012035085278210149,0.19907407407407407,24.0,24.0,22.0,0.1336109322496365,0.4166666666666667,0.19907407407407407
random_bp,expectation_value,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,12,4,4,same_entangling_gate_count,0.00025868254093361657,6.511356051406843e-05,1.0045943228598189e-35,0.004386202683746411,0.00886020095088106,0.09722222222222222,144,3,-3.5872328818055266,-4.186328556083997,3,-0.013157663485146827,0.00025364354552238276,0.18520006804097866,0.01543333900341489,0.00886020095088106,0.09722222222222222,48.0,48.0,44.0,0.08547479693952603,0.3888888888888889,0.09722222222222222
random_bp,expectation_value,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,12,8,7,same_entangling_gate_count,2.5935432646634144e-05,1.372485092411642e-05,6.505127865162682e-36,0.00019629654470434816,0.003598786877373318,0.05555555555555555,252,3,-4.586106502847624,-4.862492364049836,3,0.0015873044150954585,2.5622557655494573e-05,0.08025133637661463,0.005055359010312229,0.003598786877373318,0.05555555555555555,84.0,84.0,88.0,0.02934818705786915,0.3888888888888889,0.05555555555555556
random_bp,expectation_value,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,12,1,1,same_entangling_gate_count,3.138241865970417e-05,1.7369389860343447e-11,7.50728898139994e-36,0.00046814536159647433,0.0015874480696394305,0.49074074074074076,36,3,-4.5033135881523885,-10.76021543687472,3,0.0060168657096190785,3.50704348491143e-05,0.03410636795849697,0.005684394659749494,0.0015874480696394303,0.49074074074074076,12.0,12.0,11.0,0.03410636795849697,0.6111111111111112,0.49074074074074076
random_bp,expectation_value,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,12,2,2,same_entangling_gate_count,0.00015260700638083978,4.758678902140708e-06,1.5078326864839278e-35,0.0029059716978726675,0.004743316310369279,0.1712962962962963,72,3,-3.816425526913998,-5.322513598780388,3,-0.010077945896478771,0.00016208055304824242,0.09317887424629312,0.010981235640480404,0.004743316310369279,0.17129629629629628,24.0,24.0,22.0,0.06418187410288334,0.3611111111111111,0.17129629629629628
