benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,hilbert_dim,n_params,n_entangling_gates,objective_value,mean_abs_grad,spatial_grad_variance,log10_spatial_grad_variance,grad_norm,normalized_grad_norm,max_abs_grad,min_abs_grad,near_zero_ratio,target_grad
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,1,1,11,11,11,0,0,4096,36,11,0.00976871683005802,0.0028180821199273675,0.00017125388278158878,-3.7663595731114365,0.07939396968087385,0.013232328280145643,0.07816968099885398,9.226520679302848e-20,0.5277777777777778,-0.01135967024830643
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,1,1,11,11,11,1,1,4096,36,11,-0.06214277328672121,0.0030933945842227355,7.780351094666086e-05,-4.109000804676674,0.05293892692704584,0.008823154487840974,0.04145580205230383,3.2250544003458655e-19,0.6111111111111112,0.004624314733101085
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,1,1,11,11,11,2,2,4096,36,11,-0.00012071158619966778,0.00020648578903120768,2.616946734847387e-07,-6.582205116869969,0.003113912096470714,0.0005189853494117857,0.001722541625932999,3.6078076609277614e-19,0.4722222222222222,-0.0016515261320382297
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,12,1,1,11,12,12,3,0,4096,36,12,0.003031240492729468,0.0011029701867653933,1.7998550405839998e-05,-4.744762471346464,0.025779412067921968,0.004296568677986994,0.02425435990490409,1.227651288988379e-18,0.5,-0.0035246597796336713
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,12,1,1,11,12,12,4,1,4096,36,12,0.016967891172342386,0.002596325332649662,6.691395072044882e-05,-4.174483327833344,0.04912106451381424,0.008186844085635707,0.04145580180268863,1.2981580157363427e-19,0.6111111111111112,-0.0012626547780277642
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,12,1,1,11,12,12,5,2,4096,36,12,-0.0019485345362146207,0.0010630486895032358,2.0298803421054086e-05,-4.692529562232099,0.027418627293754702,0.004569771215625784,0.026583918713842164,2.587038663810021e-20,0.3611111111111111,-0.026583918713842164
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,1,1,11,11,11,6,0,4096,36,11,0.0009765867153589541,0.0005236239703163193,1.4695266082352556e-06,-5.832822545892746,0.007351319228197893,0.0012252198713663155,0.0053929632247301275,5.421010862427522e-20,0.6666666666666666,-5.421010862427522e-20
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,1,1,11,11,11,7,1,4096,36,11,1.066764669014574e-05,2.049175461323393e-05,6.489144400312986e-09,-8.187812561553782,0.0004956093332983746,8.260155554972911e-05,0.00048319966824853227,5.975997425665063e-20,0.6944444444444444,2.1212881372799884e-19
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,1,1,11,11,11,8,2,4096,36,11,-0.016972192270127008,0.0055122895045169075,0.00012502863837665732,-3.902990498476643,0.06984546146606285,0.011640910244343808,0.04601301243650451,3.469446951953614e-18,0.6666666666666666,8.673617379884035e-18
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,12,1,1,11,12,12,9,0,4096,36,12,0.00021769332770380716,0.0001683604718478877,1.9133300843976475e-07,-6.718210099776065,0.00262497645010125,0.000437496075016875,0.0017419911210677463,8.526134450066672e-20,0.6666666666666666,-0.0002531473131008118
