benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,grad_value,abs_grad,is_near_zero
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,0,RZ,2,2,layer_000_wire_000_RZ,3.671726950249141e-18,3.671726950249141e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,1,RX,0,3,layer_000_wire_001_RX,0.011345356436800642,0.011345356436800642,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,1,RY,1,4,layer_000_wire_001_RY,0.08290934618790657,0.08290934618790657,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,1,RZ,2,5,layer_000_wire_001_RZ,2.6498382354048605e-17,2.6498382354048605e-17,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,2,RX,0,6,layer_000_wire_002_RX,-0.04313029991161397,0.04313029991161397,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,2,RY,1,7,layer_000_wire_002_RY,-0.014699215306560726,0.014699215306560726,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,2,RZ,2,8,layer_000_wire_002_RZ,1.645604013661975e-18,1.645604013661975e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,3,RX,0,9,layer_000_wire_003_RX,8.178102430900051e-05,8.178102430900051e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,3,RY,1,10,layer_000_wire_003_RY,-0.021178450403886544,0.021178450403886544,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,3,RZ,2,11,layer_000_wire_003_RZ,-1.0361477652978283e-17,1.0361477652978283e-17,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,4,RX,0,12,layer_000_wire_004_RX,3.708122640300876e-05,3.708122640300876e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,4,RY,1,13,layer_000_wire_004_RY,8.245079775382608e-05,8.245079775382608e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,4,RZ,2,14,layer_000_wire_004_RZ,-1.4508599510104768e-17,1.4508599510104768e-17,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,5,RX,0,15,layer_000_wire_005_RX,-1.0744992385385704e-05,1.0744992385385704e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,5,RY,1,16,layer_000_wire_005_RY,4.003081145367848e-05,4.003081145367848e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,1,0,5,RZ,2,17,layer_000_wire_005_RZ,-3.215285864766317e-18,3.215285864766317e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,0,RX,0,0,layer_000_wire_000_RX,-0.0030776296639126515,0.0030776296639126515,False
