benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,grad_value,abs_grad,is_near_zero
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,0,RX,0,0,layer_000_wire_000_RX,-0.017040244857470015,0.017040244857470015,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,0,RY,1,1,layer_000_wire_000_RY,0.11725961014135769,0.11725961014135769,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,0,RZ,2,2,layer_000_wire_000_RZ,2.6819377877831333e-17,2.6819377877831333e-17,True
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,1,RX,0,3,layer_000_wire_001_RX,-0.0004739108830579121,0.0004739108830579121,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,1,RY,1,4,layer_000_wire_001_RY,0.010829300643326992,0.010829300643326992,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,1,RZ,2,5,layer_000_wire_001_RZ,-5.900532341366322e-18,5.900532341366322e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,2,RX,0,6,layer_000_wire_002_RX,-0.0005193337394996016,0.0005193337394996016,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,2,RY,1,7,layer_000_wire_002_RY,-0.00506002304056957,0.00506002304056957,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,2,RZ,2,8,layer_000_wire_002_RZ,1.6044443763287233e-17,1.6044443763287233e-17,True
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,3,RX,0,9,layer_000_wire_003_RX,0.00011393481250300064,0.00011393481250300064,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,3,RY,1,10,layer_000_wire_003_RY,0.0006003287534978438,0.0006003287534978438,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,3,RZ,2,11,layer_000_wire_003_RZ,1.2896457717201056e-17,1.2896457717201056e-17,True
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,4,RX,0,12,layer_000_wire_004_RX,0.00014870197847249769,0.00014870197847249769,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,4,RY,1,13,layer_000_wire_004_RY,-2.5488416133961217e-05,2.5488416133961217e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,4,RZ,2,14,layer_000_wire_004_RZ,-1.6946802267990414e-18,1.6946802267990414e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,5,RX,0,15,layer_000_wire_005_RX,-6.072992299552358e-05,6.072992299552358e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,5,RY,1,16,layer_000_wire_005_RY,3.555369414222961e-05,3.555369414222961e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,5,RZ,2,17,layer_000_wire_005_RZ,7.516827265134696e-18,7.516827265134696e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,6,RX,0,18,layer_000_wire_006_RX,1.4429383084637627e-05,1.4429383084637627e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,6,RY,1,19,layer_000_wire_006_RY,2.4600803355777356e-06,2.4600803355777356e-06,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,6,RZ,2,20,layer_000_wire_006_RZ,-9.419882245593261e-18,9.419882245593261e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,7,RX,0,21,layer_000_wire_007_RX,2.376057342479837e-06,2.376057342479837e-06,False
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,0,7,RY,1,22,layer_000_wire_007_RY,4.401956534626043e-06,4.401956534626043e-06,False
