benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,mean_param_grad_variance_across_seeds,median_param_grad_variance_across_seeds,min_param_grad_variance_across_seeds,max_param_grad_variance_across_seeds,mean_param_abs_grad,mean_param_near_zero_ratio,n_params,n_seeds,log10_mean_param_grad_variance_across_seeds,log10_median_param_grad_variance_across_seeds,n_runs,mean_objective_value,mean_spatial_grad_variance,mean_grad_norm,mean_normalized_grad_norm,mean_abs_grad,mean_near_zero_ratio,mean_n_entangling_gates,mean_actual_entangling_budget,mean_target_entangling_budget,mean_layer_grad_norm,max_layer_near_zero_ratio,mean_layer_near_zero_ratio
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0.0008783006669766116,1.5611159638591155e-33,1.0069083918828512e-36,0.009767103515135486,0.01018785786687618,0.6666666666666666,18,3,-3.0563567874469464,-30.0,3,-0.01153352896914408,0.0007788401523932371,0.10542406247310153,0.024848689824988113,0.010187857866876178,0.6666666666666666,6.0,6.0,5.0,0.10542406247310153,0.6666666666666666,0.6666666666666666
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,2,2,same_entangling_gate_count,0.002598062587643924,0.0009250072604482077,1.2178121474518899e-35,0.012731563235616345,0.028269326423014083,0.3333333333333333,36,3,-2.585350390930048,-3.0338548584391103,3,-0.06722307216511114,0.0022177254228737974,0.2668664101908243,0.04447773503180405,0.02826932642301408,0.3333333333333333,12.0,12.0,10.0,0.18668352924912993,0.6666666666666666,0.3333333333333333
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,4,3,same_entangling_gate_count,0.004311170222187719,0.001495923423788997,4.81482486096809e-35,0.05213198906740531,0.041422748324940646,0.2222222222222222,54,3,-2.365404829130026,-2.8250906374054288,3,0.054378369548376625,0.0044937675837086405,0.49087562165341536,0.06679971112346428,0.04142274832494064,0.2222222222222222,18.0,18.0,20.0,0.27454273684790176,0.6666666666666666,0.2222222222222222
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,8,7,same_entangling_gate_count,0.0077857967624193215,0.004713891103146538,4.864874038472956e-35,0.05003759451474987,0.0721765924007682,0.09523809523809523,126,3,-2.1086969371336304,-2.3266204544482707,3,-0.09279468122963978,0.008547065623699059,1.039453722798812,0.09260189762190114,0.0721765924007682,0.09523809523809523,42.0,42.0,40.0,0.3795090119348333,0.6666666666666666,0.09523809523809523
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0.004371476692801388,1.91188430803401e-06,1.0848368619613449e-35,0.0181453327475877,0.04122758112594674,0.4444444444444444,18,3,-2.359371832777071,-5.718538391297677,3,0.060108783214577445,0.00536404575157913,0.31575697208482006,0.07442463205603589,0.04122758112594674,0.4444444444444444,6.0,6.0,5.0,0.31575697208482006,0.4444444444444444,0.4444444444444444
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,2,2,same_entangling_gate_count,0.0023422104040222167,0.0008815126851895027,1.0300120758667324e-34,0.018995657434863283,0.03142573907039245,0.2222222222222222,36,3,-2.63037409423316,-3.054771433712743,3,-0.0902437870954405,0.002912006913657906,0.3220718299914372,0.053678638331906205,0.03142573907039245,0.2222222222222222,12.0,12.0,10.0,0.2137179981496208,0.4444444444444444,0.2222222222222222
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,4,3,same_entangling_gate_count,0.0018429635393090746,0.0009670730218607988,7.991272445406599e-35,0.009126455894337847,0.030046260797391637,0.14814814814814814,54,3,-2.7344832566602038,-3.01454073192126,3,-0.008618680972590656,0.0019998305303819603,0.33204151103125884,0.04518512641384978,0.030046260797391634,0.14814814814814814,18.0,18.0,20.0,0.18165071259071147,0.4444444444444444,0.14814814814814814
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,8,7,same_entangling_gate_count,0.001290511000076999,0.0009159218852732679,1.3040150665121909e-35,0.009987059429041096,0.02641098544934754,0.06349206349206349,126,3,-2.889238289258523,-3.038141563713567,3,-0.10009851462930608,0.001206020979627043,0.3855403686327734,0.03434666590938964,0.02641098544934754,0.06349206349206349,42.0,42.0,40.0,0.14200700121487114,0.4444444444444444,0.06349206349206349
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0.00024994582103675167,1.8690551983165358e-05,2.5978036833415837e-35,0.001999227076233228,0.007131993073868502,0.35185185185185186,18,3,-3.6021541200270173,-4.728377872526843,3,0.014181734923552937,0.00027568987408516755,0.0693249468644044,0.016340046677739143,0.007131993073868502,0.35185185185185186,6.0,6.0,5.0,0.0693249468644044,0.3888888888888889,0.35185185185185186
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,2,2,same_entangling_gate_count,0.001100194072531222,0.00048428088857404563,8.962846255283236e-35,0.006111597945604387,0.023898444258152657,0.16666666666666666,36,3,-2.9585306992098452,-3.314902669401952,3,-0.013008653505707346,0.0014060084126534813,0.22298445302557346,0.03716407550426224,0.023898444258152657,0.16666666666666666,12.0,12.0,10.0,0.15131847072100915,0.3333333333333333,0.16666666666666666
