benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,1,1,11,11,11,0,0,0.0028180821199273675,0.00017125388278158878,0.07939396968087385,0.07816968099885398,9.226520679302848e-20,0.5277777777777778
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,1,1,11,11,11,1,0,0.0030933945842227355,7.780351094666086e-05,0.05293892692704584,0.04145580205230383,3.2250544003458655e-19,0.6111111111111112
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,1,1,11,11,11,2,0,0.00020648578903120768,2.616946734847387e-07,0.003113912096470714,0.001722541625932999,3.6078076609277614e-19,0.4722222222222222
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,12,1,1,11,12,12,3,0,0.0011029701867653933,1.7998550405839998e-05,0.025779412067921968,0.02425435990490409,1.227651288988379e-18,0.5
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,12,1,1,11,12,12,4,0,0.002596325332649662,6.691395072044882e-05,0.04912106451381424,0.04145580180268863,1.2981580157363427e-19,0.6111111111111112
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,12,1,1,11,12,12,5,0,0.0010630486895032358,2.0298803421054086e-05,0.027418627293754702,0.026583918713842164,2.587038663810021e-20,0.3611111111111111
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,1,1,11,11,11,6,0,0.0005236239703163193,1.4695266082352556e-06,0.007351319228197893,0.0053929632247301275,5.421010862427522e-20,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,1,1,11,11,11,7,0,2.049175461323393e-05,6.489144400312986e-09,0.0004956093332983746,0.00048319966824853227,5.975997425665063e-20,0.6944444444444444
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,1,1,11,11,11,8,0,0.0055122895045169075,0.00012502863837665732,0.06984546146606285,0.04601301243650451,3.469446951953614e-18,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,12,1,1,11,12,12,9,0,0.0001683604718478877,1.9133300843976475e-07,0.00262497645010125,0.0017419911210677463,8.526134450066672e-20,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,12,1,1,11,12,12,10,0,9.857974929082218e-05,7.865597998010138e-08,0.0016950856699770999,0.0014074046380103235,6.134675776113371e-19,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,12,1,1,11,12,12,11,0,7.528144474469383e-05,4.5187572471639575e-08,0.00128580319699329,0.0011615785631370877,2.42532225255777e-19,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,12,1,1,11,11,11,12,0,0.02647212897390895,0.0016289720541288518,0.24574808694405662,0.08832153116346178,6.003396450685836e-19,0.3888888888888889
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,12,1,1,11,11,11,13,0,0.023180572056389057,0.0014815965727196711,0.2309806755989398,0.08952776667206068,1.9190277472853566e-18,0.3888888888888889
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,12,1,1,11,11,11,14,0,0.025852284049239095,0.0014337318638756452,0.22874690167466413,0.07907964469303777,1.8013299781770603e-19,0.3888888888888889
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,12,1,1,11,12,12,15,0,0.024055051552945038,0.0014615119342658324,0.23114654743896992,0.08832180833361425,4.88206367001157e-18,0.4444444444444444
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,12,1,1,11,12,12,16,0,0.02066079313065958,0.0012918671379925262,0.21648535158731164,0.0895277533314483,2.17063522626893e-20,0.4444444444444444
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,12,1,1,11,12,12,17,0,0.023492847638509923,0.001306680645498812,0.22069568278740595,0.0790801148352758,1.1934447040391682e-20,0.4166666666666667
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,2,2,22,22,11,18,0,0.01796785912156692,0.001371378690201656,0.22294158563169386,0.15414360387530182,0.0004949531876026689,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_12q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,2,2,22,22,11,18,1,0.010635220347977384,0.0006921314138649923,0.15785101772168544,0.10032385815111683,1.8231894166048077e-18,0.3333333333333333
