scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,123,40,0.5393,0.8427,0.3034,0.8333,0.8919,2,6,4,0,34,4,2,0,0
greedy,pennylane,123,40,0.5393,0.7865,0.2472,0.7467,0.8768,2,2,0,0,40,0,0,0,0
ppo,pennylane,123,40,0.5393,0.7978,0.2584,0.75,0.8308,2,7,6,0,34,5,0,0,1
dqn,pennylane,123,40,0.5393,0.7865,0.2472,0.7467,0.8768,2,2,0,0,34,0,5,0,1
