scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,123,60,0.2807,0.6842,0.4035,0.7985,0.973,2,6,4,0,50,4,6,0,0
greedy,pennylane,123,60,0.2807,0.6491,0.3684,0.781,0.9819,2,8,10,0,50,10,0,0,0
ppo,pennylane,123,60,0.2807,0.6491,0.3684,0.781,0.9819,2,8,10,0,50,10,0,0,0
dqn,pennylane,123,60,0.2807,0.7661,0.4854,0.8425,0.8601,2,6,4,0,56,4,0,0,0
