seed,return_last100,return_best,acc_start,acc_end,depth_end,n_commits,n_rollbacks
0,-0.014321651127896235,0.9659051126247751,0.45,0.8666666666666667,8,6,0
1,-0.5084956177487289,-0.106735610444648,0.5333333333333333,0.8833333333333333,8,6,0
2,-1.4071014989046144,-0.6479431163252454,0.6,0.9166666666666666,8,6,0
3,-0.48387565108049124,0.24373076388824477,0.6666666666666666,0.18333333333333332,4,3,2
4,0.003158777065224634,0.9628954305185619,0.6666666666666666,0.8833333333333333,8,6,0
