scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,123,40,0.5155,0.7081,0.1925,0.6968,0.7534,2,6,4,0,34,4,2,0,0
greedy,pennylane,123,40,0.5155,0.6957,0.1801,0.7135,0.6961,2,6,4,0,36,4,0,0,0
ppo,pennylane,123,40,0.5155,0.5404,0.0248,0.4638,0.511,2,6,5,0,34,4,0,1,1
dqn,pennylane,123,40,0.5155,0.6584,0.1429,0.6541,0.6968,2,2,2,0,34,0,3,0,3
