scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,123,60,0.3509,0.6901,0.3392,0.8015,0.9766,2,6,4,0,50,4,6,0,0
greedy,pennylane,123,60,0.3509,0.731,0.3801,0.8231,0.9867,2,8,10,0,50,10,0,0,0
ppo,pennylane,123,60,0.3509,0.655,0.3041,0.7839,0.9696,2,2,0,0,50,0,10,0,0
dqn,pennylane,123,60,0.3509,0.6199,0.269,0.751,0.3633,2,3,1,9,50,1,0,9,0
