benchmark_mode,objective_type,budget_normalization,experiment_group,dataset_name,target_mode,batch_id,fixed_batch_seed,batch_size,batch_class_counts,ansatz_type,gate_set,encoding_type,feature_map,entanglement_topology,entangler_type,loss_type,readout_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_spatial_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,9,0,0.010965782680649466,0.0008451945344088199,0.17642235936363307,0.0968557158867418,2.6475586485484033e-18,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,9,1,0.007291575939024809,0.0018040908851171024,0.25857549522818285,0.25854530147547855,1.0503208545953324e-19,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,10,0,0.01697451537982132,0.0012212264045869533,0.20975094551548876,0.11221589903658816,6.030874584450618e-19,0.6666666666666666
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,10,1,0.02634272095848483,0.004432134362811249,0.4086446467567122,0.28917773280480463,1.0842021724855044e-19,0.75
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,10,2,0.010414496499924358,0.0010021482535520609,0.1907364865520077,0.14475044788654592,0.0,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,10,3,0.0008930578760140888,1.5280216959307144e-05,0.023495639963404556,0.020272133713145804,3.277646502441131e-20,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,11,0,0.028476859347697565,0.0035018729766595155,0.3757186812018057,0.208787302762699,8.207518461647385e-19,0.6666666666666666
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,11,1,0.009840707502342014,0.000648141739650362,0.15358693735872148,0.09570824421008456,0.0,0.75
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,11,2,0.014734713633819535,0.0017499141707074733,0.25457496664673845,0.17160260059986585,3.107916948288595e-19,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,11,3,0.009748569377785583,0.0033203166207364018,0.3506460382257247,0.35064590766573606,1.4094628242311558e-18,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,12,0,0.01514194424347375,0.0011247773716867191,0.20300861483104315,0.13839317610108365,7.589415207398531e-19,0.6666666666666666
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,12,1,0.018293025769087947,0.0026854619492354156,0.3109632167216014,0.2567023812241747,4.607859233063394e-19,0.75
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,12,2,0.008605862633840273,0.0006968102930106326,0.16023793727439298,0.11628564132917724,5.421010862427522e-20,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,12,3,0.0022423900208092696,0.00013166334667831663,0.06947682720753387,0.06836911516936234,1.7076184216646695e-18,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,13,0,0.019656881633424265,0.0014124153135299127,0.23785713602746028,0.12518384928480292,8.558981107424244e-19,0.6666666666666666
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,13,1,0.015369909167545263,0.0012506807109588585,0.21225568599757325,0.10853710978137601,2.3503839733033904e-18,0.75
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,13,2,0.0156455254055336,0.0022785633578568955,0.2869844238142192,0.1898055934023125,1.9986095967759647e-20,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,13,3,0.006890156602345072,0.0012379523856934189,0.2130216540694451,0.20950646030461761,8.673617379884035e-19,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,14,0,0.022341803158572895,0.0026064324419452192,0.30631944589230886,0.1979627760317667,6.505213034913027e-19,0.6666666666666666
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,14,1,0.014146858575292397,0.001129856678066063,0.20406992353912867,0.14559032502748065,1.8645302158004075e-19,0.75
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,14,2,0.017875723014410243,0.003118063828320678,0.33602962536720643,0.22735292624275288,4.336808689942018e-19,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,14,3,0.00564463818950762,0.0008862615277032334,0.18180331363254226,0.18036232037469227,7.257412513738587e-19,0.9444444444444444
