benchmark_mode,objective_type,budget_normalization,experiment_group,dataset_name,target_mode,batch_id,fixed_batch_seed,batch_size,batch_class_counts,ansatz_type,gate_set,encoding_type,feature_map,entanglement_topology,entangler_type,loss_type,readout_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_spatial_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,4,4,28,28,7,10,0,0.027720367257372185,0.002997836949067946,0.2728508794457125,0.16231927367381163,4.0848908743544585e-19,0.5
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,4,4,28,28,7,10,1,0.021605828055390467,0.002278666612124477,0.25329086685629987,0.2203874355256015,3.844050282129024e-19,0.625
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,4,4,28,28,7,10,2,0.008074991395004495,0.00099863257145193,0.15765415890300527,0.15572250247715524,3.8681039609414595e-18,0.75
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,4,4,28,28,7,10,3,0.005845055018537715,0.0005616595481096359,0.11958169253989029,0.11736542468889422,4.572396329063774e-19,0.9166666666666666
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,4,4,28,28,7,11,0,0.047520658328487286,0.0074893234746523955,0.42872638969990023,0.22005351863126346,3.346881674411998e-20,0.5
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,4,4,28,28,7,11,1,0.047355528785712725,0.007220531385646277,0.4166911044483772,0.21804336582225917,6.691560283308973e-19,0.625
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,4,4,28,28,7,11,2,0.019045256938186112,0.0024935745012351768,0.2543013871473182,0.21649278553968831,2.1253689554497837e-19,0.75
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,4,4,28,28,7,11,3,0.005921715814836806,0.0005466369788594587,0.11815620478513825,0.1150018795293752,5.421010862427522e-20,0.9166666666666666
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,4,4,28,28,7,12,0,0.0363288186208911,0.0074552219270125125,0.44719157676289784,0.32816299593800585,9.439021312439904e-21,0.5
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,4,4,28,28,7,12,1,0.017909586676511186,0.0013548921060039859,0.18555011453639936,0.09600934951968236,7.129496263980196e-19,0.625
