benchmark_mode,objective_type,budget_normalization,experiment_group,dataset_name,target_mode,batch_id,fixed_batch_seed,batch_size,batch_class_counts,ansatz_type,gate_set,encoding_type,feature_map,entanglement_topology,entangler_type,loss_type,readout_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,hilbert_dim,n_params,n_entangling_gates,objective_value,loss_value,mean_abs_grad,spatial_grad_variance,log10_spatial_grad_variance,grad_norm,normalized_grad_norm,max_abs_grad,min_abs_grad,near_zero_ratio,target_grad,batch_accuracy,mean_pred_probability,std_pred_probability
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,10,0,256,96,32,0.7014131333399357,0.7014131333399357,0.0057119410027969214,6.754115689649244e-05,-4.170431504709494,0.08052319952885348,0.008218364637583743,0.031134344050667957,1.4891309586787697e-18,0.10416666666666667,0.009671171256050383,0.3125,0.5000330141907691,0.022012832887258065
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,11,1,256,96,32,0.7144544330078053,0.7144544330078053,0.0077255842217268085,9.889009630478748e-05,-4.004847200167729,0.09929060422612844,0.010133804858610238,0.028918772375430286,1.4895767159125179e-18,0.10416666666666667,0.010756051330261451,0.3125,0.49770162768473547,0.01898943492078619
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,12,2,256,96,32,0.6830408640530872,0.6830408640530872,0.008387886394019882,0.00012926861241017282,-3.8885069129529306,0.11169260968057104,0.011399579239885162,0.03218541114969116,2.0789741756101005e-18,0.10416666666666667,0.0019411191884253522,0.6875,0.5201054772304041,0.03996157388524983
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,13,3,256,96,32,0.6719318496552196,0.6719318496552196,0.007750585325426089,0.00010721804843964206,-3.9697321019755507,0.10148831468422204,0.010358107742973055,0.0287256642326063,3.543591266573658e-19,0.10416666666666667,0.009093169698561965,0.6875,0.5020311208806357,0.036162284310842584
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,14,4,256,96,32,0.6848793602174933,0.6848793602174933,0.006800110276433502,8.598655551757413e-05,-4.065569447837543,0.09201152833264005,0.0093908872861919,0.027372425403370086,8.680230972107584e-19,0.10416666666666667,-0.006083451577509214,0.5,0.5117166672778449,0.028869207824721268
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,8,8,64,64,8,15,0,256,192,64,0.7088127557157458,0.7088127557157458,0.00863645033772309,0.00012746372671377514,-3.8946133880092386,0.15709523097337627,0.011337371736360654,0.03939847773725237,9.305046412129195e-19,0.052083333333333336,0.006904380763172678,0.4375,0.5094471604357009,0.03735895058630997
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,8,8,64,64,8,16,1,256,192,64,0.7008828261904549,0.7008828261904549,0.008764786712148304,0.0001315381533978006,-3.8809482592897067,0.15907671732752,0.01148037319635571,0.04242939044686136,6.3736219252337885e-19,0.052083333333333336,0.0036071580606563637,0.5,0.4997229217081119,0.027493855721003446
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,8,8,64,64,8,17,2,256,192,64,0.6744665345290919,0.6744665345290919,0.008303479844691902,0.0001123931679018315,-3.94926008763453,0.14732973663979937,0.010632607888578106,0.035114645667821104,4.452923436471997e-19,0.052083333333333336,0.016217834401374247,0.6875,0.5019453428636724,0.02647795702645454
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,8,8,64,64,8,18,3,256,192,64,0.6910781656036491,0.6910781656036491,0.008924347447682574,0.000135522573891917,-3.8679883586630037,0.16131248794895434,0.011641726042622131,0.03271341066703284,1.4467004570325036e-18,0.052083333333333336,0.008569338871799958,0.5625,0.5156238070815495,0.02132872030477053
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,8,8,64,64,8,19,4,256,192,64,0.6812740436580288,0.6812740436580288,0.008642773734453628,0.0001233853942620149,-3.9087362468411375,0.15391777453116798,0.011108058569829745,0.03072850567079377,4.798664708708329e-20,0.052083333333333336,0.003414378289742324,0.5625,0.5023646766397563,0.03274095182641108
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,16,16,128,128,8,20,0,256,384,128,0.6584738739862859,0.6584738739862859,0.009003818912163486,0.00013583861287856167,-3.866976761892983,0.22840619718295205,0.011655804941411524,0.038477743136136666,2.6829043722586867e-19,0.026041666666666668,-0.002883556552645301,0.625,0.4964551752649239,0.03719979713074268
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,16,16,128,128,8,21,1,256,384,128,0.7176899229788107,0.7176899229788107,0.009092415291140604,0.00012830926586283054,-3.891741979885453,0.22339655986433102,0.011400157957515148,0.03329342203191175,1.5364457297226902e-19,0.026041666666666668,-0.004283724250503962,0.3125,0.5132229291091097,0.03554348713522575
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,16,16,128,128,8,22,2,256,384,128,0.6783365186552447,0.6783365186552447,0.008378302448256133,0.00011426274214195798,-3.942095357705621,0.20965472798981682,0.010698898036188616,0.03708734676538264,4.924653640777576e-19,0.026041666666666668,0.0017673303709788645,0.6875,0.5028481129421709,0.028368516112061037
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,16,16,128,128,8,23,3,256,384,128,0.6718434880043753,0.6718434880043753,0.009025386971047432,0.0001308741890102476,-3.8831459965029054,0.22451069451621944,0.011457013403387648,0.03566049430825835,4.1976599033472877e-19,0.026041666666666668,0.0013078673851599127,0.75,0.48571384904819936,0.028680001318144275
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,16,16,128,128,8,24,4,256,384,128,0.6943734780670778,0.6943734780670778,0.00858848854614254,0.00011419545003984255,-3.942351199609914,0.20973135735440077,0.010702808512074958,0.03388536432573047,4.990681983814652e-19,0.026041666666666668,0.00695250403845109,0.4375,0.5104843200075976,0.02382329648645346
