seed,return_last100,return_best,acc_start,acc_end,f1_end,depth_end,n_commits,n_rollbacks
0,-1.7870860444353525,0.14675944021086523,0.38333333333333336,0.5,0.6666666666666666,1,1,0
1,-2.779683328391678,-0.6005297616794946,0.43333333333333335,0.7333333333333333,0.7241379310344828,3,4,1
2,-2.3825268046122985,-1.1559023338058403,0.5666666666666667,0.7166666666666667,0.6666666666666666,4,5,0
