episode,return,return_ma100
1,-4.398232176812779,-4.398232176812779
2,-4.016543916425712,-4.207388046619245
3,-5.458582366030187,-4.624452819756226
4,-12.303016038436844,-6.544093624426381
5,-5.056681084148253,-6.246611116370755
6,-5.037660663468245,-6.045119374220337
7,-7.191033504431955,-6.208821392821997
8,-5.826758952625386,-6.16106358779742
9,-7.88315385937666,-6.352406951306225
10,-3.7932780479538106,-6.096494060970983
11,-10.005828784276824,-6.45188812672606
12,-4.171788162955448,-6.261879796411843
13,-4.438465636291052,-6.121617168710243
14,-6.087046465384306,-6.119147832758389
15,-4.036612500286982,-5.980312143926963
16,-6.016141659034377,-5.982551488621176
17,-2.054321210429057,-5.751479119315757
18,-4.037660663468244,-5.656266982879784
19,-5.251066936789642,-5.634940664664514
20,-4.544635542535692,-5.580425408558073
21,-6.056681084148252,-5.603104250252843
22,-4.398232176812779,-5.5483373378237495
23,-4.78838307132195,-5.515295847975845
24,-6.660448779876432,-5.5630105534717025
25,-5.016543916425712,-5.541151887989863
26,-4.037660663468244,-5.483325302431339
27,-5.116886835732065,-5.469753507368403
28,-4.544635542535692,-5.43671358005295
29,-4.137660663468243,-5.391918651894856
30,-4.438465636291051,-5.360136884708063
31,-4.458582366030188,-5.331054480879744
32,-7.6617157655939785,-5.403887646027064
33,-4.037660663468244,-5.362486828373767
34,-7.504833734780197,-5.425497031503367
35,-3.2947428660017537,-5.3646183410604635
36,-4.014595787420353,-5.327117714570461
37,-4.88315489275936,-5.315118719386376
38,-5.5446355425356915,-5.321158635785043
39,-9.534291047156753,-5.429187671974061
40,-4.037660663468244,-5.394399496761416
41,-4.036612500286982,-5.361282740749845
42,-4.544635542535692,-5.341838759839983
43,-4.076749668009524,-5.312418083285787
44,-9.390687925052205,-5.405106034235024
45,-4.037660663468244,-5.374718359329095
46,-4.544635542535692,-5.3566730807031515
47,-5.438465636291053,-5.35841334784332
48,-5.016543916425712,-5.35129106802212
49,-3.671707895711091,-5.317013860423935
50,-3.1588919379496723,-5.273851421974451
51,-9.3216323109087,-5.353219674698651
52,-4.137660663468243,-5.329843539867297
53,-4.544635542535692,-5.315028294634626
54,-2.7548273797113456,-5.267617166580491
55,-4.016543916425712,-5.2448703802140395
56,-4.094822951320225,-5.224333818983793
57,-5.521532928087457,-5.229547838441753
58,-4.418348906551915,-5.215561649960893
59,-4.016543916425712,-5.195239315494195
60,-4.378115447073641,-5.181620584353852
61,-4.016543916425712,-5.162520966846834
62,-5.056681084148253,-5.160813871964598
63,-8.421801408288326,-5.212575578890372
64,-4.037660663468244,-5.194217533336901
65,-2.619416655037131,-5.154605212132289
66,-3.308728447617734,-5.126637382366917
67,-4.016543916425712,-5.110068823173766
68,-5.398232176812779,-5.1143065195508095
69,-4.016543916425712,-5.098396916606967
70,-5.414198912016522,-5.102908373684247
71,-4.819626990832958,-5.098918495052539
72,-7.789937018201348,-5.136293752318494
73,-4.136612500286982,-5.122599488592035
74,-3.0263441327885627,-5.09427171351361
75,-3.380723833635499,-5.071424408448569
76,-3.76065060707982,-5.054177384746348
