scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,simulate,123,800,0.0285,0.6798,0.6513,0.6662,0.8399,2,6,4,0,642,4,154,0,0
greedy,simulate,123,800,0.0285,0.2537,0.2252,0.2486,0.6268,2,2,1,0,799,0,0,0,1
ppo,simulate,123,800,0.0285,0.9075,0.879,0.8894,0.9538,2,16,63,0,642,14,95,0,49
dqn,simulate,123,800,0.0285,0.9075,0.879,0.8894,0.9538,2,16,157,0,642,23,0,9,126
