scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,123,40,0.2807,0.6374,0.3567,0.7754,0.961,2,6,4,0,34,4,2,0,0
greedy,pennylane,123,40,0.2807,0.6433,0.3626,0.7766,0.6503,2,8,6,0,34,6,0,0,0
ppo,pennylane,123,40,0.2807,0.7076,0.4269,0.8106,0.738,2,3,1,0,39,1,0,0,0
dqn,pennylane,123,40,0.2807,0.3216,0.0409,0.0,0.1907,2,3,3,0,37,2,0,1,0
