scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,123,40,0.78,0.8973,0.1173,0.2451,0.7635,2,6,4,0,35,4,1,0,0
greedy,pennylane,123,40,0.7813,0.8813,0.1,0.101,0.4619,2,8,6,0,34,6,0,0,0
ppo,pennylane,123,40,0.7807,0.76,-0.0207,0.1388,0.6765,2,7,6,0,34,5,0,0,1
dqn,pennylane,123,40,0.7827,0.8433,0.0607,0.2244,0.818,2,4,5,0,34,2,0,0,4
