epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.692982860913628,0.692971096900646,0.48333333333333334,0.5753424657534246,0.5377777777777778,0.00260846652792184,9.417108392156662e-08,0.3472222222222222,2,22,1.0,keep,none,0,0
1,0.6928572877109639,0.6928418697972262,0.5666666666666667,0.6666666666666666,0.5844444444444444,0.002993800382034335,1.2409510180746062e-07,0.3472222222222222,2,22,1.0,keep,none,0,0
2,0.6927136811488844,0.6926955110696402,0.5833333333333334,0.6835443037974683,0.6366666666666667,0.0034635497052741887,1.6613657721857053e-07,0.3472222222222222,2,22,1.0,keep,none,0,0
3,0.6925498850950131,0.6925298059326159,0.6166666666666667,0.7088607594936709,0.6811111111111111,0.004013887950755875,2.2316022147863728e-07,0.3472222222222222,2,22,1.0,keep,none,0,0
4,0.6923634664547076,0.6923422957312763,0.5833333333333334,0.6835443037974683,0.7222222222222223,0.004642758323490162,2.9857702037155916e-07,0.3472222222222222,2,22,1.0,keep,none,0,0
5,0.6921517056979007,0.6921303855046772,0.6,0.6923076923076923,0.758888888888889,0.005349716387540397,3.9640611323825874e-07,0.3472222222222222,2,22,1.0,keep,none,0,0
6,0.6919111414607434,0.6918906565059068,0.6,0.6923076923076923,0.7844444444444444,0.006137223507606477,5.21620642851307e-07,0.3472222222222222,2,22,1.0,keep,none,0,0
7,0.6916372325485954,0.6916184132981957,0.6,0.6923076923076923,0.7955555555555556,0.007010007991294066,6.803683985878862e-07,0.3472222222222222,2,22,1.0,keep,none,0,0
8,0.6913244223514229,0.6913077158405364,0.6,0.6923076923076923,0.8044444444444444,0.007974172403420637,8.801452156693682e-07,0.375,2,22,1.0,keep,none,0,0
9,0.6909669154816337,0.6909522138073092,0.6,0.6923076923076923,0.8088888888888889,0.00903438482918065,1.1293950116332219e-06,0.3472222222222222,2,22,1.0,keep,none,0,0
10,0.6895248598714842,0.6905458714068534,0.6166666666666667,0.7012987012987013,0.8133333333333334,0.018930634453141307,3.31400901802875e-06,0.23148148148148148,3,33,1.0,add_layer,committed,1,0
11,0.6881339409000391,0.6895652726236997,0.6166666666666667,0.6229508196721312,0.7133333333333334,0.02370042452358861,5.190122494666193e-06,0.23148148148148148,3,33,1.0,keep,none,1,0
12,0.6864385822568847,0.6883835419373556,0.6166666666666667,0.6101694915254238,0.7244444444444444,0.02887701849502588,7.698261478786653e-06,0.23148148148148148,3,33,1.0,keep,none,1,0
13,0.6844318989105612,0.686992424524691,0.6,0.5862068965517241,0.7277777777777777,0.0341742566241166,1.0770945684069014e-05,0.23148148148148148,3,33,1.0,keep,none,1,0
14,0.6821103430670776,0.6853874500243254,0.6333333333333333,0.6071428571428571,0.7288888888888889,0.039381616556915425,1.4285961539692069e-05,0.23148148148148148,3,33,1.0,keep,none,1,0
15,0.6915746829217438,0.6835771382037168,0.6833333333333333,0.6415094339622641,0.7344444444444445,0.01702520673279885,1.949011584937929e-06,0.1736111111111111,4,44,1.0,add_layer,committed,2,0
16,0.6900894245839311,0.6909517481436984,0.5166666666666667,0.06451612903225806,0.6333333333333333,0.0177434698584736,2.1300015137542776e-06,0.1736111111111111,4,44,1.0,keep,none,2,0
17,0.6885577881747184,0.6900215547073973,0.55,0.18181818181818182,0.6588888888888889,0.01867544253588819,2.3739184544334654e-06,0.1736111111111111,4,44,1.0,keep,none,2,0
18,0.68697187495909,0.689037685966991,0.55,0.18181818181818182,0.6744444444444445,0.019868814720070405,2.702503424864035e-06,0.1736111111111111,4,44,1.0,keep,none,2,0
19,0.6853218402040988,0.6879893433647923,0.55,0.18181818181818182,0.6955555555555556,0.021282193059716535,3.115271619154519e-06,0.1736111111111111,4,44,1.0,keep,none,2,0
20,0.6932655262923788,0.6868636034912107,0.5333333333333333,0.17647058823529413,0.7100000000000001,0.018555693067155675,1.9097574477362815e-06,0.1388888888888889,5,55,1.0,add_layer,committed,3,0
21,0.6915745134010653,0.6925502354644729,0.48333333333333334,0.20512820512820512,0.5444444444444445,0.017663779997680953,1.726243454269363e-06,0.1388888888888889,5,55,1.0,keep,none,3,0
22,0.689964272600116,0.6911046704464214,0.55,0.37209302325581395,0.6255555555555555,0.017831011503749473,1.7542083780264268e-06,0.1388888888888889,5,55,1.0,keep,none,3,0
23,0.6883541988639577,0.6896792420761396,0.5833333333333334,0.4897959183673469,0.6844444444444444,0.018864591345035157,1.959311098254569e-06,0.1388888888888889,5,55,1.0,keep,none,3,0
24,0.6866849908625469,0.6882080585541037,0.6166666666666667,0.5490196078431373,0.7333333333333334,0.020441775255078357,2.2983048220269704e-06,0.1388888888888889,5,55,1.0,keep,none,3,0
25,0.6952689074579257,0.6866681276147613,0.6333333333333333,0.5769230769230769,0.7744444444444445,0.024182105293308283,2.7051052934768264e-06,0.12037037037037036,6,66,1.0,add_layer,committed,4,0
26,0.6926651710241821,0.6921315287978909,0.48333333333333334,0.16216216216216217,0.5922222222222222,0.023308207578096932,2.5138270806871326e-06,0.12037037037037036,6,66,1.0,keep,none,4,0
27,0.6902107314258734,0.690414912516168,0.5,0.11764705882352941,0.7044444444444444,0.022710253778002384,2.387022838042077e-06,0.12037037037037036,6,66,1.0,keep,none,4,0
28,0.6878718957310578,0.6888148048860305,0.5166666666666667,0.12121212121212122,0.7788888888888889,0.022469537294423643,2.337102245729879e-06,0.11574074074074074,6,66,1.0,keep,none,4,0
29,0.6856351502422307,0.687300782791408,0.5333333333333333,0.2222222222222222,0.8177777777777777,0.02250545334013161,2.344832888490192e-06,0.11574074074074074,6,66,1.0,keep,none,4,0
30,0.683514217759269,0.6858526452964769,0.5833333333333334,0.358974358974359,0.8366666666666667,0.022803659499758596,2.407437906413613e-06,0.11574074074074074,6,66,1.0,propose_reduce_entanglement,in_progress,4,0
31,0.6814862446936226,0.6844271173204928,0.5833333333333334,0.3902439024390244,0.8388888888888889,0.02335618251256855,2.5254667026524444e-06,0.11574074074074074,6,60,0.9045084971874737,keep,in_progress,4,0
32,0.6794991173561957,0.6829746761657834,0.6333333333333333,0.5,0.8400000000000001,0.024033833315116996,2.6740995662267125e-06,0.11574074074074074,6,43,0.6545084971874737,keep,in_progress,4,0
33,0.6775098675611363,0.6814696553337182,0.65,0.5333333333333333,0.8355555555555556,0.024667565862217026,2.817006702160572e-06,0.11574074074074074,6,23,0.34549150281252633,keep,in_progress,4,0
34,0.6754988348931695,0.6799059553222165,0.65,0.5333333333333333,0.8422222222222222,0.02515188911438532,2.9287707660164514e-06,0.11574074074074074,6,6,0.09549150281252633,keep,in_progress,4,0
35,0.6868546367911855,0.6782864868210052,0.6333333333333333,0.5217391304347826,0.8444444444444444,0.023782513420031327,2.2365494579940718e-06,0.0992063492063492,7,0,0.0,add_layer,committed,6,0
36,0.68413154881536,0.6857688096490787,0.7666666666666667,0.8108108108108109,0.8655555555555556,0.022572005046943795,2.0182536242563407e-06,0.0992063492063492,7,0,0.0,keep,none,6,0
37,0.6816634051049792,0.6837060961669293,0.7833333333333333,0.821917808219178,0.8666666666666667,0.02136957745085923,1.8110823270759605e-06,0.0992063492063492,7,0,0.0,keep,none,6,0
38,0.6794232668738371,0.6819451661463981,0.7666666666666667,0.8055555555555556,0.8644444444444445,0.020533499621260488,1.6729612536446345e-06,0.0992063492063492,7,0,0.0,keep,none,6,0
39,0.6773612187918528,0.6803998211712224,0.75,0.7887323943661971,0.8644444444444443,0.020059668432170445,1.596782059069305e-06,0.0992063492063492,7,0,0.0,keep,none,6,0
